KataKunci,Tweet,TweetGeolokasi,TweetNonDuplikat
Covid-19,10000,308,286
Covid-19,10000,291,291
Covid-19,10000,266,266
Covid-19,10000,190,190
Covid-19,10000,282,275
Covid-19,10000,232,231
SARS-CoV-2,316,16,16
SARS-CoV-2,293,5,5
SARS-CoV-2,545,7,7
SARS-CoV-2,788,15,15
SARS-CoV-2,554,9,9
SARS-CoV-2,955,7,7
Coronavirus,3618,92,92
Coronavirus,3009,65,65
Coronavirus,2251,41,41
Coronavirus,2782,52,52
Coronavirus,2139,35,35
Coronavirus,1841,17,17
Batuk,10000,206,206
Batuk,10000,201,201
Batuk,10000,195,195
Batuk,10000,162,162
Batuk,10000,155,155
Batuk,10000,166,166
Batuk Kering,339,9,9
Batuk Kering,318,14,14
Batuk Kering,554,8,8
Batuk Kering,1214,19,19
Batuk Kering,413,11,11
Batuk Kering,249,3,3
Pilek,10000,159,159
Pilek,10000,156,155
Pilek,10000,155,155
Pilek,10000,156,156
Pilek,10000,124,124
Pilek,10000,110,110
Kelelahan,2965,53,53
Kelelahan,2764,49,49
Kelelahan,3776,76,76
Kelelahan,4586,69,69
Kelelahan,4397,50,49
Kelelahan,4100,41,41
Sakit Kepala,10000,212,209
Sakit Kepala,10000,252,252
Sakit Kepala,10000,225,225
Sakit Kepala,10000,205,205
Sakit Kepala,10000,171,167
Sakit Kepala,10000,183,182
Demam,10000,302,302
Demam,10000,362,362
Demam,10000,237,237
Demam,10000,243,243
Demam,10000,208,208
Demam,10000,188,188
Sesak Napas,2011,32,32
Sesak Napas,2201,32,32
Sesak Napas,2734,43,43
Sesak Napas,4402,70,70
Sesak Napas,2628,40,40
Sesak Napas,2047,28,28
Sakit Tenggorokan,5669,66,66
Sakit Tenggorokan,5670,70,70
Sakit Tenggorokan,6556,87,87
Sakit Tenggorokan,7415,88,88
Sakit Tenggorokan,4470,47,47
Sakit Tenggorokan,4978,45,45
Sakit Tenggorokan,5668,66,66
Sakit Tenggorokan,5670,70,70
Sakit Tenggorokan,6553,87,87
Sakit Tenggorokan,7415,88,88
Sakit Tenggorokan,4470,47,47
Sakit Tenggorokan,4979,45,45
Diare,4821,98,98
Diare,5620,98,98
Diare,6558,115,115
Diare,6821,110,110
Diare,5538,72,72
Diare,4950,66,66
Delta,3579,102,100
Delta,4561,98,98
Delta,10000,230,229
Delta,10000,246,246
Delta,10000,351,348
Delta,9241,213,213
